果実, ,(latitude longitude)
オリーブ木, プランターボックス, funabori 5-13-n
クチナシの実, , funabori 5-14-14
ぶどう, , higashikomatsugawa 4-3-6
orību ki, ,kitakasai 1-13-4
orībuki, ,funabori 12-17
budou, ,funabori 12-3
orību ki, プランターボックス,funabori 16-7
orību ki, プランターボックス,funabori 16-6
ナス　オレンジ色小実, ,funabori 2-14-29
オレンジ小実, ,funabori 2-13-3
レモン小実, ,funabori 2-5-7
budou, ,funabori 11-2
orību ki, ,funabori 2-8
レモン小実, ,funabori 2-8
ぶどう, プランターボックス,higashikomatsugawa 4-32-3
budou, ,higashikomatsugawa 4-58
orību ki, ,kitakasai 1-24-19
budou, プランターボックス,nishikasai 1-1-2
goma(p_rinnsann), ,funabori 19-24
クワ木, ,nishikasai 2-14
nagaimo, ,funabori 7-4
budou ki, ,funabori 3-22
オリーブ木, プランターボックス, funabori 3-22
長芋, ,中川1-15
クワ実木, ,funabori 2-7-10
長芋, ,funabori 2-7-10
ムベ, プランターボックス, nishikasai 1-3
オリーブ木, プランターボックス, nishikasai 1-5-2
オリーブ木, プランターボックス, nishikasai 1-3-3
budou, ,kitakasai 3-42
(柿|渋柿）, ,nishikasai 5-8-32
(柿|渋柿）, ,清新町1-4-18
ブルーベリー, ,kitakasai 7-3
ぶどう, ,ukita_chou 1245~54
山わさび, ,ukita_chou 1245~54
柑橘, ,ukita_chou 1245~54
ぶどう・ビワ・ブルーベリー, ,ukita_chou 1354-n
もも・ぶどう, ,nishikasai 2-1-9
オリーブ木, ,清新町 2-7-n
グミ木, ,清新町 2-7-n
柑橘, プランターボックス, ukita_chou 2131
ぶどう, ,nakakasai 5-4-1
ブラックベリー, ,nakakasai 5-4-1
ぶどう, ,nishikasai 8-8-2
ぶどう, ,higashisuna 5-19-7
オリーブ木, ,kitakasai 2-3
ぶどう, ,higashisuna 5-19-8
ブラックベリー, ,higashisuna 5-19-8
(柿|渋柿）, ,kitakasai 4-22
(柿|渋柿）, ,nakakasai 1-33-17
クチナシの実, ,nakasai 9-3-14
もも, ,higashikomatsugawa 5-16
(柿|渋柿）, ,funabori 4-4-7
(柿|渋柿）, ,nishikasai 5-8-32
(柿|渋柿）, ,清新町 1-4-18
オリーブ木, ,nakakasai 3-7
クチナシの実, ,kitakasai 3-5–12
クチナシの実, ,nakakasai 1-1
ブラックベリービッグ, ,nakakasai 1-1
いちご, ,nakakasai 1-1
ブラックベリー, ,nakakasai 5-12-5
ぶどう, ,nakakasai 4-16-19 (nakakasai 4-16-n)
クチナシの実, ,nakakasai 7-31-17
ぶどう, ,nakakasai 7-31-13
オリーブ木, ,nishikasai 3-15
クチナシの実, ,kitakasai 1-23-n
オリーブ木, プランターボックス, nakakasai 5-30-9
クチナシの実, ,kitakasi 3-5-12
オリーブ木, ,kitakasai 1-22-19
ぶどう, ,nishikasai 1-9-29
イチジク, ,nishikasai 1-9-29
（ビワ）, ,nishikasai 1-9-29
グミ木, プランターボックス, kitakasai 2-5-2n
ぶどう, ,kitakasai 5-15-6
クチナシの実, ,（小松川境界親水公園）
柿（甘・渋柿）, ,funabori 7-15-7
ぶどう, ,funabori 7-10-22
クチナシノ実, funabori 2-7-26
ぶどう, プランターボックス, higashisuna 3-24-5
いちご, ,higashisuna 3-24-5
ビワ, ,hirai 2-1-1
クチナシノ実, ,nishikasai 7-28
クチナシノ実, ,nishikasai 7-16
クチナシノ実, ,kitakasai 1-21-4
モモ, ,nishikasai 4-1-1
オリーブ木, プランターボックス, nakakasai 5-2
ヤマモモ, ,kitakasai 3-5-5


